KVA,Load_percent,Ia,Ib,Ic,In,UB_percent,Min_V,Max_dis,Load_peak,Ia_PEAK,Ib_PEAK,Ic_PEAK,UB_PEAK_percent,Min_V_peak,Copper_Loss,Core_Loss,Line_Loss,Copper_Loss_PEAK,Core_Loss_PEAK,Line_Loss_PEAK
160,30.18,101.56,52.27,55.46,47.65,45.57790625,225.04,220.1,30.18,101.56,52.27,55.46,45.57790625,225.04,137,187,297,137,187,297
160,31.94,90.66,77.99,52.82,32.68,28.45080598,217,986.34,34.96,98.38,88.67,55.4,31.44978346,215.16,118,187,703,145,187,824
250,22.84,107.27,85.01,55.17,44.89,33.11376036,222.98,419.05,24.65,111.18,90.86,65.08,26.90925427,222.54,91,259,343,105,268,395
250,22.74,108.29,93.3,44.77,56.54,45.48222114,223.78,264.14,23.78,115.36,96.47,45.88,46.59112956,222.83,113,259,469,122,259,555
250,17.2,76.57,62.83,46.89,25.6,24.48870041,226.91,334.66,17.79,80.56,63.96,48.16,25.43076604,226.64,65,259,160,70,268,170
250,8.94,26.79,40.99,29.02,13.24,27.03512397,226.76,696.78,10.74,33.47,48.43,34.4,24.92691316,227.02,12,259,92,18,268,130
250,15.66,83.94,39.76,45.95,41.27,48.43501326,206.82,989.64,16.48,90.02,41.44,47.07,51.26869434,205.88,42,259,882,46,268,982
50,35.64,31.3,15.17,30.72,15.75,41.0415857,225.19,839.4,46.68,50.03,17.11,33.97,49.23350806,221.6,73,79,120,128,79,270
50,37.34,69.15,4.23,3.68,65.18,169.2058137,229.48,1077.08,41.8,76.42,5.28,4.57,165.7470731,227.08,73,79,173,96,79,234
50,54.65,44.73,20.98,52.66,28.43,46.82774352,228.99,222.2,55.73,42.04,22.7,55.97,43.58379587,229,174,79,64,182,82,64
100,10.55,19.49,15.39,10.81,7.49,29.02166776,228.06,803.99,10.55,19.49,15.39,10.81,29.02166776,228.06,9,130,45,9,130,45
160,11.72,26.68,17.14,37.41,17.52,38.16324018,225.63,407.84,11.72,26.68,17.14,37.41,38.16324018,225.63,20,187,132,20,187,132
160,24.76,71.84,54.42,45.41,23.16,25.54319334,222.37,412.06,27.06,84.87,62.43,40.33,35.69791611,220.65,85,187,420,105,193,556
160,14.45,35.72,33.97,30.44,4.65,8.79856187,228.65,240.36,22.09,54.28,51.33,47.49,6.943174396,227.48,30,187,105,72,193,260
160,14.8,30.02,42.55,30.02,12.51,24.4273321,230.14,149.22,15.48,34.26,42.89,30.17,19.89377562,230.17,23,187,17,25,193,18
160,18.22,57.36,21.84,47.13,31.56,48.13583472,225.47,366.19,18.22,57.36,21.84,47.13,48.13583472,225.47,48,187,178,48,187,178
100,4.38,10.23,5.22,3.51,6.05,61.86708861,230.51,63.91,4.57,13.66,3.43,2.72,106.8652196,230.29,2,130,3,2,134,5
50,11.34,7.2,10.15,7.22,2.94,23.93162393,230.4,203.42,15.16,10.37,11.87,10.59,8.467864758,229.81,8,79,5,17,82,18
100,73.18,118.38,128.26,70.6,52.2,33.23666625,208.95,1213.46,76.29,120.98,137.55,72.22,34.49433107,211.08,440,130,1007,476,134,1098
100,48.37,47.55,111.71,50.38,62.32,59.85975959,214.94,1170.7,64.68,69.82,139.36,71.2,49.11191954,206.37,230,130,902,426,130,1851
100,41.19,62.84,73.42,42.23,26.97,29.02123368,222.09,953.64,57.31,89.15,102.58,56.67,31.55797101,219.11,146,130,494,286,134,1007
100,28.46,60.69,40.06,22.55,32.84,47.66423358,212.96,1484.03,31.43,68.32,45.64,22.19,51.10539846,212.2,88,130,736,110,134,899
100,42.27,60.74,68.74,44.95,20.84,22.69105085,236.02,604.11,46.32,67.92,71.74,51.49,19.18911849,235.86,136,130,333,164,130,403
160,52.18,156.51,100.56,87.69,62.64,36.19039332,220.26,760.29,54.1,162.53,104.38,90.53,36.41170546,219.9,323,187,1720,351,193,1873
160,25.43,81.84,41.19,44.89,38.67,46.21248213,227.25,1080.98,37.13,114.01,65.29,65.92,39.47883533,218.95,78,187,549,173,187,1148
160,14.95,51.51,32.49,19.63,27.68,49.11705105,225.59,449.26,25.83,78.95,58.74,41.42,32.23717269,220.67,25,187,145,77,193,653
160,4.36,7.64,7.61,13.5,5.87,40.86956522,241.93,486.33,8.03,15.03,15.02,22.92,29.80932603,241.3,2,187,4,9,187,16
250,6.17,33.28,13.15,20.37,17.53,49.46107784,226.71,497.69,6.31,32.41,13.82,22.07,42.35724744,227.22,7,259,80,7,268,74
250,35.84,118.53,149.27,120.68,29.6,15.27234349,222.7,390.49,36.66,119.54,155.63,122.27,17.47433575,222.94,263,259,899,277,259,930
250,7.41,30.08,27.2,23,6.1,14.05082212,227.89,432.53,10.76,41.44,39,36.05,7.159412825,226.95,11,259,65,24,259,120
250,6.16,26.16,26.9,10.5,15.88,50.44052863,238.89,500.2,6.19,25.97,27.37,10.48,50.73644626,238.93,7,259,68,7,268,68
250,32.33,165.97,114.31,53.54,96.43,51.884249,223.26,777.47,33.02,171.25,114.04,55.61,51.06189498,222.37,177,259,1190,183,268,1261
250,3.64,25.7,6.87,6.87,18.82,95.48681542,226.7,580.95,6.07,38.27,13.73,13.75,74.61596958,225.19,2,259,30,7,259,61
50,59.7,51.65,41.6,29.9,18.66,27.16199756,227.14,1017.32,71.65,59.31,53.23,35.29,28.38395454,222.19,199,79,396,286,82,617
